name,attraction_id
"Routor Travel Service",18aa317467aea4859dbc32859146bc04
"Royal Thai Massage",6fc3de7cf2ef450fc9f6d2877e92dd48
S'PARVELOUS,cbdc9aba3085ce80eebed49e00d72b8f
"Sappho Live",5329ddfa6d35e564f845aecbee40cc5e
"Science Park Exploration Museum",aec540e8880418338db25cb8419ce4f8
"Scuba diving in Liuqiu",49efa3860d92ea7b66565ef545144e6e
"Scuba Yann PADI dive instructor",ec7f0e0aebc1f896f82b866612353cea
"Shezidao Yingshin Pier",618c20835a3377ddacb08e2205c71325
"Shizi Village No. 8",17dea5df874c05dc998ab54f798ad89b
"Show How Craft Beer",771f404df32a9fc86321bc33b5ddea4b
"ShuoHao Language Center",12ffce8891a6601feac9280d8ef9095c
SOGO(復興館),8f3bd0819c68a8037d2e240e86dc57d0
"Sparkle Spa",1cb68fd3ec63e4c7368c21485ec511d7
"Star Movie Cinemas",447eb41f20a3dc7af03a3bbdc28afd09
"Stas Tours",9084604bd9a9d7c31307d983d80fc7f6
"Studio 83",6eb3cc1b20e0fa0f507ce509ecc0249e
"Stunning Taiwan Travel",8ceec46cdb5711dd8b383651c68e25a2
"Sun Fish Spa",c484ef50bbf2df21577a65954c063af2
"Sunshine Sports Park",9859af104ed8ed6f61443558da3730b2
"Surf Travel Taiwan",1f8cba4b9cec589780b84bbbd89f3409
"Sweet Cooking House甜蜜屋",fde271323fd0bd2dbec7436d452bf5b5
"Sweet Spot 烘焙甜蜜點",493160fd02e653d07b3e03e132dc2e0a
TafengTour,16747be3f9dac44602a9ad11c1bd9919
"Taichung Kitesurfing Center | manera shop & cafe",2ca57deff3c1e2fefb71d5172e094ec8
"Taichung Localized Free Walking Tour",93f43dd7e9fd20ce64eb22e05be3dd09
"Tainan Municipal Library",d38bb112395889b9affeb48e193eaa5c
"Taipei - Free Half Day Tour for Tourists with Air Layovers",b5a5bd37ed57080e48ca3af961ae9e32
"Taipei Bike Tours",3d5df8177ea5ad07efdb0199e65f486a
"Taipei Eats",2a9ea806d5cf86b363ad49638a0c8f9b
"Taipei Performing Arts Center",0b4ac52c08413e4f252439c2cd082c28
"Taipei Urban Adventures - private tours",3dc073e01d53735d86c3b43a6b05ea1f
"Taipei Wanderer City Tour",eb416e1b01d171e76ea182eb5d600074
"Taitung Ocean Mountain Bikeway",346aa4c7c369990a6997ac8dc49ca44d
"Taiwan Adventure Outings",16c71fc354d9518a5bc7dea38eefdfb9
"Taiwan Adventures",e7a7077d457283f097607ce9fecbfffd
"Taiwan Charlie Chartered Tour",1c38fd3b3cfc078567fed40685c21684
