"年度","月份","陽明山遊客中心","陽明書屋","陽明公園","大屯遊憩區","龍鳳谷遊憩區","小油坑遊憩區","冷水坑","擎天崗","國立故宮博物院","臺北市立美術館","國民革命忠烈祠","國立歷史博物館","國立臺灣科學教育館","國立臺灣藝術教育館","臺北市立動物園","臺北市立天文科學教育館","國立國父紀念館","士林官邸公園","臺北自來水園區","國立中正紀念堂","台北探索館","關渡自然公園","台北當代藝術館","美麗華摩天輪","台北101","北投溫泉博物館","臺北市孔廟","凱達格蘭文化館","臺北市立兒童新樂園","台北植物園","華山1914文化創意產業園區","國立臺灣博物館","松山文創園區","白石湖吊橋"
"Year","Month","Yangmingshan Visitor Center","Yangmingshuwu","Yangming Park","Datun Recreation Area","Longfonggu Recreation Area","Xiaoyoukeng Recration Area","Lengshuikeng","Qingtiangang","National Palace Museum","Taipei Fine Arts Museum","National Revolutionary Martyrs’ Shrine","National Museum of History","National Taiwan Science Education Center","National Taiwan Arts Education Center","Taipei Zoo","Taipei Astronomical Museum","National Dr. Sun Yat-sen Memorial Hall","Chiang Kai-shek Shilin Residence Park","Taipei Water Park","National Chiang Kai-shek Memorial Hall","Discovery Center of Taipei","Guandu Nature Park","Museum of Contemporary Art ,Taipei","Miramar Ferris Wheel","Taipei 101","Beitou Hot Spring Museum","Taipei Confucius Temple","Ketagalan Culture Center","Taipei Children’s Amusement Park","Taipei Botanical Garden","Huashan 1914 Creative Park","National Taiwan Museum","Songshan Cultural and Creative Park","Baishihu Suspension Bridge"
"110(2021)","7","175","426","9750","32925","4898","4088","7777","7735","2891","10256","43","2815","40689","2048","0","0","25375","11801","5527","2394","0","552","3913","0","0","209","2606","1355","0","16143","63987","3293","123927","0"
"110(2021)","8","835","1252","14460","33581","18330","10417","19289","22205","18740","26658","765","56860","32977","11114","90490","13740","42300","19613","11643","14278","1582","4869","9987","5501","0","1248","17640","9905","42933","38825","64686","11206","233779","15891"
"110(2021)","9","1201","1304","13520","50740","26895","19098","25368","23454","19855","39661","779","86984","45210","17714","78107","16134","74500","15698","13143","21844","10616","5421","8698","5909","0","2826","20357","11749","36838","49698","92284","14159","270165","15691"
"110(2021)","10","1127","1449","6308","36813","38354","22511","25641","23454","70089","53875","1836","167844","101304","16613","143080","41673","110240","30449","23070","96276","21904","7502","12766","9172","10576","15745","26797","15740","70285","71915","183332","29051","373248","22741"
"110(2021)","11","1555","2604","5970","26333","42257","18608","46195","31184","62295","29707","1637","136423","153282","19110","203732","50453","145390","193675","26277","46815","25742","9798","14308","8957","16548","22208","20085","15351","86657","101827","124950","34654","418786","17005"
"110(2021)","12","3309","3162","6622","21219","34452","13781","38351","23673","34916","23932","3502","110530","184900","16478","206571","51118","225800","282279","23994","164122","17571","8073","19288","11582","24179","22479","20566","16697","102330","108441","177246","37069","464391","19508"
"111(2022)","1","4733","3381","202150","18989","37981","11633","23806","21729","34727","22994","1500","92778","161689","21610","139117","22734","134575","72236","16226","83407","3035","5114","15399","8925","13255","14227","18968","9461","64911","94219","243078","25184","429762","19449"
"111(2022)","2","6628","4017","278450","12510","60868","20692","24165","20132","37931","23624","2015","119651","184150","22000","181925","46084","96490","312150","18277","88740","2131","5183","7775","10847","12919","11542","18037","7439","105323","62728","233357","32250","373848","25282"
"111(2022)","3","7705","4102","544370","31139","134428","24159","36458","30926","32976","25107","1399","57085","229376","27909","208918","52713","130975","129800","21371","139416","4578","9037","11655","8628","12338","14694","22865","12102","102509","131244","131136","33264","511064","25444"
"111(2022)","4","5146","3701","525003","38302","126255","18898","33436","34801","25908","23991","1779","83075","122133","30898","131425","29826","116075","47100","18245","86644","2200","7004","12784","7251","10068","9998","18147","10106","62184","106795","118189","22664","389160","19362"
"111(2022)","5","3517","2617","219193","23947","22051","8080","15970","16189","16461","20700","1482","62618","78862","20521","70134","13964","75195","25831","12008","24019","1316","5131","6363","4465","4110","5547","12423","9294","21089","86349","84794","8954","277617","12326"
"111(2022)","6","7594","3996","207641","36476","20289","24259","36410","38108","28804","34214","1300","78667","101808","23917","69530","29796","87180","32269","13272","42034","2881","5561","9457","7612","13261","7924","14871","12947","57707","89342","98213","17332","359914","13315"
"111(2022)","7","14315","4746","296942","49299","22630","34135","46164","51806","69660","54177","1712","124667","153264","58128","178160","90796","156250","28581","64949","59787","26494","7474","10782","11380","29095","18030","21369","23271","173043","105690","182677","91115","516202","14727"
"111(2022)","8","11911","4770","362586","42514","22804","29833","42219","52038","70950","39088","1959","90229","273045","44954","176746","93098","131410","25503","53535","61834","35602","6896","9286","13267","41067","19679","22130","23605","212998","99261","253712","91186","574207","14893"
"111(2022)","9","7465","3297","203882","26437","25921","15950","28492","32706","42339","27611","2243","81752","114914","32687","134202","62859","109880","34569","18132","60790","15758","5717","9813","8145","24399","12731","24887","29365","72424","98973","186583","41708","473533","13182"
"111(2022)","10","5787","2896","184476","23972","26214","13388","32949","28482","64834","38191","2177","135236","107111","14871","166228","93291","149160","63339","24464","102145","21464","7334","11027","9613","30379","18246","21131","27720","144611","100898","101833","58852","421938","12558"
"111(2022)","11","6438","3858","330665","22245","23908","10938","50599","39082","57755","37153","2273","112355","177356","32918","255469","58975","154050","252707","24301","112666","18033","18499","10943","10993","39252","23191","21274","23137","125396","78457","153428","48042","515160","16280"
"111(2022)","12","6593","3078","137314","17453","28361","7264","29433","27559","74943","37862","2620","82140","174796","23822","198490","77454","264495","207083","36084","237818","12402","8396","27829","15959","65515","30292","21800","26718","124447","62846","241122","55650","488485","12785"
"112(2023)","1","60330","4570","351555","25656","35270","20190","49030","46019","103511","34949","2739","64519","199775","32807","359202","67956","161860","59497","26354","233048","5045","4252","10333","19254","82197","28360","42329","19940","235364","103693","367429","65668","510547","23836"
"112(2023)","2","60338","13989","383053","23525","22790","26116","53428","48374","98055","46224","12748","40238","223609","32677","296503","68139","6337840","285034","27513","224709","9137","5818","13679","15641","81372","31478","23814","21745","190689","103693","317021","63989","1234147","24125"
"112(2023)","3","73293","14737","658319","31820","66420","39875","47496","53412","99299","59945","19952","31776","97228","31553","257003","59784","187925","144350","29616","222270","7236","6453","17537","11649","83680","29821","29162","25985","122575","148880","189100","48588","648929","19906"
"112(2023)","4","70644","14258","611056","29894","89902","44165","61543","70576","125817","68624","36201","57476","180828","42456","348355","86487","218180","88389","36844","241564","9618","8904","18755","15755","108010","34133","33325","14999","209907","136701","185719","77077","555930","23417"
"112(2023)","5","58005","11019","549175","27478","25115","31069","50953","45131","107071","59127","38870","82523","102127","28666","194447","63859","185810","74474","35368","249988","8614","5689","24949","12806","91080","26054","31114","13508","111142","138935","222538","68781","593886","18988"
"112(2023)","6","60807","7984","483219","30600","23723","35408","69372","52482","116323","47827","29443","187182","169510","26567","137238","75457","154085","52744","67400","206362","29825","5838","15662","14284","96577","24272","26721","15287","132822","114345","203138","82654","523969","12266"
"112(2023)","7","74049","8942","457438","38307","26655","45902","68207","64993","137895","53245","31716","290778","410574","38333","206118","129397","177580","23613","107203","268828","45385","5544","34707","17482","120250","27183","26436","26548","207548","102522","239632","118081","564095","12110"
"112(2023)","8","56339","5106","399813","32373","20117","38047","55318","45604","143101","50011","39452","204936","368104","35979","220185","155236","179220","38917","63383","232845","36737","5681","21335","15026","120480","27437","29186","26836","219898","96647","285810","104655","602340","9233"
"112(2023)","9","63333","4342","475343","36888","12910","35843","74631","60239","118554","42360","38625","91447","142401","29995","159179","110048","165215","38243","31885","237208","18911","9875","12381","10727","100538","24938","23725","26638","106843","117179","331939","62553","601754","10258"
"112(2023)","10","64186","7677","556056","26564","19133","43172","78847","51394","167379","47106","48870","98719","174028","35607","269414","101753","279580","71758","37977","299892","24357","30716","20731","13573","121428","32589","31908","33366","149349","133331","195697","75706","781456","12684"
"112(2023)","11","69000","7411","498650","25144","17687","42514","110891","83412","158383","43029","65454","121010","257715","44873","253494","87516","221165","311826","38053","280477","21762","11045","13253","12599","136579","38414","34592","36210","119951","140064","277630","64527","681376","15403"
"112(2023)","12","54682","6415","488298","25071","22641","31017","63328","50656","176802","51052","72727","134908","141638","31377","333739","92777","330370","517551","50810","505186","17073","8937","13525","17055","147559","43905","33659","33761","175030","127644","533497","72819","731483","28354"
"113(2024)","1","65763","7216","455533","81743","27904","38688","51767","52885","159124","40813","29716","106821","154697","41412","216743","67094","194610","627379","28738","327460","10320","5693","13097","13059","927706","40451","34677","13632","164597","128342","352259","62857","692948","17424"
"113(2024)","2","62937","8545","638718","32314","36694","37214","49536","54299","160560","36972","33543","7642","181223","36789","321728","72821","126280","771583","27527","358783","8771","6358","11170","14288","989833","31132","41994","9887","240331","126737","395394","62597","756598","28382"
"總計(Total)","","2040355","607117","19873593","5117889","4509337","3359080","2806406","2649181","25545693","4518962","9058750","7776186","20243038","3113807","25836342","6210157","40749162","19198569","9186982","35478296","1988817","1070159","1944133","1932445","16478923","2733601","3475637","2888812","12255623","9844589","19649107","4011663","31457521","1361483"
