id,attraction_id,author,description,url,source_platform_id,created_at
c19a15c6d86b1ed8a710e20c30c3481a,fc73810e75cbcb35391b0f013cfabeab,Xue Wen,,https://www.facebook.com/reel/411338794775070/?__cft__[0]=AZUkZUoR9g2cgl4yMsAObZ4s56-r9128ofJUAnwOQMM-JCTT7bCKusdIviHovPmBL5JNx734YU4MKOe3Lhlqfqs4rwEVDK_C2MSE9ezKJt0p0euGxgx9rB4CXQg29Swb4O0WZ-8kSvIl84agifS_sHywOYNSj9FPXaKQoMjvmuWwKQ&__tn__=%2CO%2CP-R,fb,2023-12-30
2e633b385e863d8cd6a01c4d475320c3,fc73810e75cbcb35391b0f013cfabeab,Randy Carcamo,,https://www.facebook.com/reel/1616857782183737/?__cft__[0]=AZXfWCFFfGGA_NMl7yU9Su1AEych1W6HcQhQrOkcRBu_hsGcfzhckFHUlwL53MI70i1gt8Smn_lc7NLNtJFCAM3GU2oCL_ipVWvSthyJ2PTL7oTMh_KWjF8jGJ2UPlGgVkjPtiJgpkQ4DrO_Gjw-iPTj9ak7rNZ-T5lTecdDR2Hs4A&__tn__=%2CO%2CP-R,fb,2024-02-01
a06fec78c375f116ffa8c69333cf89d0,fc73810e75cbcb35391b0f013cfabeab,舞子,,https://www.facebook.com/reel/752392696937127/?__cft__[0]=AZVc19lrUbHE0i4FClX1fvgo0kjcBn0gcvhE79y9QeFI2FGTgfyHBbHHkiJVWhvm_9COerYSJNMtMMlujoih0EzsUbMrhB_IsnC2wSHydNlj78pJq23V0IyV-al9Pg0OAPsqb-qb0qfCQ1YyEsBwKl3qwgjWjsA3hgQpVa6E_OyUnw&__tn__=%2CO%2CP-R,fb,2024-01-18
bd4f455f21462fa3c4253555423e25c7,fc73810e75cbcb35391b0f013cfabeab,🅢🅐🅚🅤🅡🅐 🌸 🅟🅐🅡🅥🅐🅣🅘,,https://www.facebook.com/reel/228356567020673/?__cft__[0]=AZWhVAcMI3UkZj-N20y-x8UZoJeJaQo6B0LOVJzx86mv9xAgxKF5UvNn5i-UDFuQO6ShvDeNfQ7qEHo9WaDGZL4cAdXKV-4BK18rJy15SB217jYL2OCZlQG1ThPB2JM9A13hDopO7PaAPQ-xFFZdWdB-X2FsvcJoXnOZNqa8TFcGAA&__tn__=%2CO%2CP-R,fb,2024-01-18
3291cb49dd050e3b70907563b4c1ada3,fc73810e75cbcb35391b0f013cfabeab,井手 らっきょ,,https://www.facebook.com/reel/1374156699882072/?__cft__[0]=AZXE_vTE3rE_yTdjUwYG0jokIJezjZ0uAh60CakGb8sZSqqgMZEL26LaUa73DV8ToVnC3SrxI02V7Ox_H-b5JyJGSNvrOhtG2SkcxCO8CN2WfopI34v-qRS8NU--C7V_jtRXDS4N1cpGiqs_WjAjU8CX8pp_uEM-uoTf7VqGu0b1yQ&__tn__=%2CO%2CP-R,fb,2024-02-06
2001fedf7ab65363e1074b21421df4a3,fc73810e75cbcb35391b0f013cfabeab,🦈𝓕𝓸𝓾𝓻貪食鯊｜全台美食 吃貨日常🍰,,https://www.facebook.com/reel/2284651621713309/?__cft__[0]=AZUN7xeczam1TGo6vlANd7u0v8JkSQ7OXgBM_obwTkwejlxytOPmxmr1gShT8KcDd0wJwd1dt_RqJywrHK1Gl6B3hfYK_tL_fMk7nhbTn8VtPJuxo-cIcJYCMXDfNqWSQRpLTqIM8b-htC6oH6AHdNgm6ytbiBPDfbrDaxf_tGEy4A&__tn__=%2CO%2CP-R,fb,2022-12-17
58d88cd32251debe8b57900fab60aeba,fc73810e75cbcb35391b0f013cfabeab,放生施食煙供⋯念佛求生極樂,敬邀 在這個特別的時刻，我們誠摯地邀請您參加慈濟浴佛大典，一個充滿虔誠與感恩的盛會。這次大典不僅慶祝佛誕節，更結合了母親節和全球慈濟日，將三重意義融為一體。讓我們在佛誕節、母親節和全球慈濟日的這個特別時刻，與佛相遇，感念佛恩、親恩、眾生恩。在這個充滿善念的時刻，讓我們一起祈願社會祥和，天下無災！…… 查看更多,https://www.facebook.com/groups/2419281031495430/?multi_permalinks=7479885985434884&hoisted_section_header_type=recently_seen&__cft__[0]=AZWvdSq64hogXzvaZ1LUpVQdFuc7TUpqNSLS98hA695zp8j5uSKLAwr4FcPegcEA6wT9rPFTNm5m7dcaPaoA3aa_tYX-KEyAIW_ay4UYQm4l0n9lRpuw39T6uzGH5mIBgO88q-5Fc1-I7novu27WgIggk4GKL9eASx34y2AZPBWAP_MoLIrohsx0KvQcxAmEM228j81PlOhtxgquSfRIxqJs&__tn__=%2CO%2CP-R,fb,2024-05-03
7277dcc9dcdf8cf6bb21b555c8962b6e,fc73810e75cbcb35391b0f013cfabeab,Serena | Travel Photographer 旅行攝影,,https://www.facebook.com/reel/1339953163607572/?__cft__[0]=AZVSEtcgVJC3rZNloxkWB8tmPKBO9c-ONx8GsPWYmdYNlNeH4GXm7v1YsqgvCTd_gpOD_9wnMZKTKmtKw9jwmntadYqLBfjp7rWKTQ9GtYsoCnC5uC-q5rXq3yR5B190Pnj1zv3OQh5RuYkOXS4PNywObpYaMiOG-0Gp9OI6wrRSog&__tn__=%2CO%2CP-R,fb,2023-10-19
d7defb3d98050e16b77c496cea5a2a2b,fc73810e75cbcb35391b0f013cfabeab,𝐈’𝐦 𝟗𝐚𝐧 ｜宜蘭美食 旅遊住宿 新店開箱,,https://www.facebook.com/reel/1375797753027852/?__cft__[0]=AZXpzSvwOsH6jEFkt9W2XENAh761gLj_s0nunKvqY9Gx6pk3wsR5ReUEUbIhGaNRqiRIGHQikYt3BEw6Y9z5qG78rP0jMi40koWfCw4plmOUg3GEoIG7JkUZjrEShg-CZ5jkSpy9uQZzK6WLSgl-DmDSnPSdEv8KFluz3X7UFJvknA&__tn__=%2CO%2CP-R,fb,2023-10-13
1550b6f7660b720c84e959261b515d01,fc73810e75cbcb35391b0f013cfabeab,XINMEDIA,,https://www.facebook.com/reel/344770684989383/?__cft__[0]=AZVuxaWLBrUcyQG2V7KAMVjEZRPD4zGkXQNo7brZdMM1XSC2el5wKdfNddaxl3URW4h54JL-4ytns3N3G_xL0HJ5sN5Y_BaoCEJ9Qb5YkwPaUMBsOrE_0yjp7jX0T3A1qdeygtc9KwkViR-nzi66NROP3gvoLguIPnXaDhakEZC-Xw&__tn__=%2CO%2CP-R,fb,2023-12-29
e792b6998020b16e21f57ba250bf1097,fc73810e75cbcb35391b0f013cfabeab,𝐏𝐈𝐍𝐆 𝐭𝐡𝐞 𝐅𝐨𝐨𝐝 𝐋𝐨𝐯𝐞𝐫,,https://www.facebook.com/reel/203048709336170/?__cft__[0]=AZX8r86czVcAyRj_JP8sWVjMuQph3hBEcFazHggDIas7U-UHf8siiexDh9SSeDc80rod0W4Km3HCuvoskDcgMyX3qasdRdQI2Yzn574yQT-e-j7l14IitFu7jd8E7V9VUvBtO85JT0Hm_20A7dUID4Ljc-Hjz6agUjUSYO7sckzbEQ&__tn__=%2CO%2CP-R,fb,2023-05-28
e08e01725cfca5f93de857d42b8ecf6d,fc73810e75cbcb35391b0f013cfabeab,蔡玉英,,https://www.facebook.com/reel/5845081045568883/?__cft__[0]=AZX_GcW5gMcFQyH1LsLH_fB1Smrk4dwJduoIDeMkEUrN8X2GCRGUhEKdA6HaZYjCeXi6uC3UyhPEVkLY20sK08nNQEUtSpIs3SBUXxQuOdqeHlXVnip5mIhoANAXqUpbt_EJx9t87uEfCMnLBhZvyXj5ayfH5ixRQMtCM-lLDqRT7A&__tn__=%2CO%2CP-R,fb,2023-02-14
